order_id,order_date,product,category,region,unit_price,quantity,revenue
1001,2024-01-03,Wireless Mouse,Accessories,North,25.99,3,77.97
1002,2024-01-03,Laptop Pro 15,Computers,North,1299.00,1,1299.00
1003,2024-01-04,Noise-Cancelling Headphones,Audio,West,199.00,2,398.00
1004,2024-01-05,4K Monitor 27,Monitors,East,329.00,1,329.00
1005,2024-01-06,Mechanical Keyboard,Accessories,South,89.00,2,178.00
1006,2024-01-07,USB-C Hub,Accessories,West,49.00,4,196.00
1007,2024-01-08,Laptop Air 13,Computers,East,999.00,1,999.00
1008,2024-01-09,Webcam HD,Accessories,North,59.00,3,177.00
1009,2024-01-10,Gaming Laptop 17,Computers,South,1599.00,1,1599.00
1010,2024-01-11,Bluetooth Speaker,Audio,West,129.00,2,258.00
1011,2024-02-02,Wireless Mouse,Accessories,North,25.99,5,129.95
1012,2024-02-03,Laptop Pro 15,Computers,West,1299.00,2,2598.00
1013,2024-02-04,Noise-Cancelling Headphones,Audio,South,199.00,3,597.00
1014,2024-02-05,4K Monitor 27,Monitors,North,329.00,2,658.00
1015,2024-02-06,Mechanical Keyboard,Accessories,East,89.00,3,267.00
1016,2024-02-07,USB-C Hub,Accessories,South,49.00,6,294.00
1017,2024-02-08,Laptop Air 13,Computers,North,999.00,2,1998.00
1018,2024-02-09,Webcam HD,Accessories,West,59.00,4,236.00
1019,2024-02-10,Gaming Laptop 17,Computers,East,1599.00,1,1599.00
1020,2024-02-11,Bluetooth Speaker,Audio,South,129.00,3,387.00
1021,2024-03-01,Wireless Mouse,Accessories,West,25.99,4,103.96
1022,2024-03-02,Laptop Pro 15,Computers,South,1299.00,1,1299.00
1023,2024-03-03,Noise-Cancelling Headphones,Audio,North,199.00,1,199.00
1024,2024-03-04,4K Monitor 27,Monitors,South,329.00,3,987.00
1025,2024-03-05,Mechanical Keyboard,Accessories,North,89.00,4,356.00
1026,2024-03-06,USB-C Hub,Accessories,East,49.00,5,245.00
1027,2024-03-07,Laptop Air 13,Computers,West,999.00,1,999.00
1028,2024-03-08,Webcam HD,Accessories,South,59.00,2,118.00
1029,2024-03-09,Gaming Laptop 17,Computers,North,1599.00,2,3198.00
1030,2024-03-10,Bluetooth Speaker,Audio,East,129.00,4,516.00
1031,2024-04-01,Wireless Mouse,Accessories,South,25.99,6,155.94
1032,2024-04-02,Laptop Pro 15,Computers,East,1299.00,1,1299.00
1033,2024-04-03,Noise-Cancelling Headphones,Audio,West,199.00,2,398.00
1034,2024-04-04,4K Monitor 27,Monitors,North,329.00,1,329.00
1035,2024-04-05,Mechanical Keyboard,Accessories,West,89.00,3,267.00
1036,2024-04-06,USB-C Hub,Accessories,North,49.00,4,196.00
1037,2024-04-07,Laptop Air 13,Computers,South,999.00,2,1998.00
1038,2024-04-08,Webcam HD,Accessories,East,59.00,5,295.00
1039,2024-04-09,Gaming Laptop 17,Computers,West,1599.00,1,1599.00
1040,2024-04-10,Bluetooth Speaker,Audio,North,129.00,3,387.00
1041,2024-05-01,Wireless Mouse,Accessories,East,25.99,5,129.95
1042,2024-05-02,Laptop Pro 15,Computers,North,1299.00,2,2598.00
1043,2024-05-03,Noise-Cancelling Headphones,Audio,South,199.00,2,398.00
1044,2024-05-04,4K Monitor 27,Monitors,East,329.00,2,658.00
1045,2024-05-05,Mechanical Keyboard,Accessories,South,89.00,4,356.00
1046,2024-05-06,USB-C Hub,Accessories,West,49.00,6,294.00
1047,2024-05-07,Laptop Air 13,Computers,North,999.00,1,999.00
1048,2024-05-08,Webcam HD,Accessories,South,59.00,3,177.00
1049,2024-05-09,Gaming Laptop 17,Computers,East,1599.00,1,1599.00
1050,2024-05-10,Bluetooth Speaker,Audio,West,129.00,4,516.00

